set,selection,n,C0,k_per_min,R2,RMSE,K21_low,K21_high,K95_low,K95_high,applied_k_low,applied_k_high,applied_range
session1_train,김재영,13,64.0,0.009795917678963996,0.9574123987250941,3.9910864269491237,0.009673347797879853,0.009647165469606447,0.008672233952277128,0.011446509034298278,0.008672233952277128,0.011446509034298278,K95
session2_validation,matched only,27,,0.009795917678963996,,,,,,,,,
session3_validation,matched only,27,,0.009795917678963996,,,,,,,,,
